Xanthomonas campestris pv. campestris str. 8004, complete genome. - 1..5148708
4273 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
2742233..2743363	+	376	66573921	-	XC_2277	-	-	flagellar protein
2743360..2745453	+	697	66573922	-	XC_2278	-	-	flagellar biosynthetic protein FlhA
2746453..2748120	+	555	66573923	-	XC_2279	-	-	flagellar biosynthetic protein
2748014..2748991	+	325	66573924	-	XC_2280	-	-	flagellar biosynthesis switch protein
2748988..2749755	+	255	66573925	-	XC_2281	-	-	RNA polymerase sigma factor
2749791..2750171	+	126	66573926	-	XC_2282	-	-	chemotaxis protein
2750171..2750797	+	208	66573927	-	XC_2283	-	-	chemotaxis related protein
2750800..2752455	+	551	66573928	-	XC_2284	-	-	chemotaxis related protein
2752686..2753687	-	333	66573929	-	XC_2285	-	-	conserved hypothetical protein
2753693..2754415	-	240	66573930	-	XC_2286	-	-	conserved hypothetical protein
2754496..2755293	-	265	66573931	-	XC_2287	-	-	conserved hypothetical protein
2755663..2757174	-	503	66573932	-	XC_2288	-	-	conserved hypothetical protein
2757147..2757842	-	231	66573933	-	XC_2289	-	-	conserved hypothetical protein
2757950..2758567	-	205	66573934	-	XC_2290	-	-	conserved hypothetical protein
2758653..2759069	-	138	66573935	-	XC_2291	-	-	conserved hypothetical protein
2759130..2760704	+	524	66573936	-	XC_2292	-	-	IS1478 transposase
2760590..2761024	-	144	66573937	-	XC_2293	-	-	conserved hypothetical protein
2761553..2762428	-	291	66573938	-	XC_2294	-	-	arsenite efflux pump ACR3
2762512..2764563	-	683	66573939	-	XC_2295	-	-	putative high-affinity Fe2+/Pb2+ permease
2765439..2768540	-	1033	66573940	-	XC_2296	-	-	TonB-dependent receptor
2769404..2770144	+	246	66573941	-	XC_2297	-	-	MotA protein
2770152..2771126	+	324	66573942	-	XC_2298	-	-	MotB protein
2771110..2771910	+	266	66573943	-	XC_2299	-	-	chromosome partioning protein
2772513..2773142	+	209	66573944	-	XC_2300	-	-	chemotaxis protein
2773240..2773548	+	102	66573945	-	XC_2301	-	-	conserved hypothetical protein
2773545..2773910	+	121	66573946	-	XC_2302	-	-	chemotaxis response regulator
2773944..2775947	+	667	66573947	-	XC_2303	-	-	chemotaxis protein
2776407..2778671	+	754	66573948	-	XC_2304	-	-	chemotaxis protein
2778876..2779442	+	188	66573949	-	XC_2305	-	-	conserved hypothetical protein
2780176..2780670	+	164	66573950	-	XC_2306	-	-	chemotaxis protein
2780710..2782347	+	545	66573951	-	XC_2307	-	-	chemotaxis protein
2783139..2785196	+	685	66573952	-	XC_2308	-	-	chemotaxis protein
2785428..2787686	+	752	66573953	-	XC_2309	-	-	chemotaxis protein
2788328..2790397	+	689	66573954	-	XC_2311	-	-	chemotaxis protein
2790402..2791247	+	281	66573955	-	XC_2312	-	-	conserved hypothetical protein
2791244..2792959	+	571	66573956	-	XC_2313	-	-	chemotaxis protein
2793856..2795955	+	699	66573957	-	XC_2314	-	-	chemotaxis protein
2796464..2797768	+	434	66573958	-	XC_2315	-	-	methyl-accepting chemotaxis protein
2797781..2799136	+	451	66573959	-	XC_2316	-	-	chemotaxis protein
2800103..2800900	+	265	66573960	-	XC_2317	-	-	conserved hypothetical protein
2801012..2801497	+	161	66573961	-	XC_2318	-	-	chemotaxis protein
2801851..2802195	+	114	66573962	-	XC_2319	-	-	conserved hypothetical protein
2802275..2804647	+	790	66573963	-	XC_2320	-	-	chemotaxis protein
2804842..2805711	+	289	66573964	-	XC_2321	-	-	chemotaxis protein methyltransferase
2805708..2806304	+	198	66573965	-	XC_2322	-	-	chemotaxis protein
2806301..2807377	+	358	66573966	-	XC_2323	-	-	glutamate methylesterase
2807485..2809665	+	726	66573967	-	XC_2324	-	-	c-di-GMP phosphodiesterase A
2809915..2810730	-	271	66573968	-	XC_2325	-	-	beta-ketoadipate enol-lactone hydrolase
2810926..2813517	-	863	66573969	-	XC_2326	-	-	aconitate hydratase 2
2813570..2813977	-	135	66573970	-	XC_2327	-	-	conserved hypothetical protein
2813974..2814231	-	85	66573971	-	XC_2328	-	-	conserved hypothetical protein
2814380..2817148	+	922	66573972	-	XC_2329	-	-	aconitase
2817338..2817850	-	170	66573973	-	XC_2330	-	-	conserved hypothetical protein
2817882..2819564	+	560	66573974	-	XC_2331	-	-	RpfB protein
2819741..2820610	+	289	66573975	-	XC_2332	-	-	RpfF protein
2820623..2822803	-	726	66573976	-	XC_2333	-	-	RpfC protein
2822811..2823434	-	207	66573977	-	XC_2334	-	-	RpfH protein
2823436..2824572	-	378	66573978	-	XC_2335	-	-	response regulator rpfG
2824711..2826228	-	505	66573979	-	XC_2336	-	-	putative lysyl tRNA synthetase
2826440..2827381	-	313	66573980	-	XC_2337	-	-	putative peptide release factor 2
2827639..2828556	-	305	66573981	-	XC_2338	-	-	regulatory protein
2828697..2829023	+	108	66573982	-	XC_2339	-	-	inner membrane protein
2829020..2829892	+	290	66573983	-	XC_2340	-	-	membrane protein
2829966..2831330	+	454	66573984	-	XC_2341	-	-	inner membrane protein
2831420..2832448	+	342	66573985	-	XC_2342	-	-	regulatory protein rpfI
2832536..2834284	-	582	66573986	-	XC_2343	-	-	putative single stranded DNA exonuclease
2834281..2835201	-	306	66573987	-	XC_2344	-	-	regulatory protein rpfE
2835205..2835681	-	158	66573988	-	XC_2345	-	-	putative transcriptional elongation factor
2835678..2838920	-	1080	66573989	-	XC_2346	-	-	carbamoyl-phosphate synthase large chain
2838978..2839529	-	183	66573990	-	XC_2347	-	-	conserved hypothetical protein
2839529..2840656	-	375	66573991	-	XC_2348	-	-	carbamoyl-phosphate synthase small chain
2840896..2841612	-	238	66573992	-	XC_2349	-	-	dihydrodipicolinate reductase
2841687..2842415	-	242	66573993	-	XC_2350	-	-	conserved hypothetical protein
2842412..2843644	-	410	66573994	-	XC_2351	-	-	valine-pyruvate aminotransferase
2843819..2844358	-	179	66573995	-	XC_2352	-	-	conserved hypothetical protein
2844383..2844631	-	82	66573996	-	XC_2353	-	-	conserved hypothetical protein
2844633..2846492	-	619	66573997	-	XC_2354	-	-	ferrous iron transport protein B
2846489..2846737	-	82	66573998	-	XC_2355	-	-	ferrous iron transport protein
2846854..2847651	+	265	66573999	-	XC_2356	-	-	enoyl-CoA hydratase
2847728..2848624	+	298	66574000	-	XC_2357	-	-	hydroxymethylglutaryl-CoA lyase
2848728..2849498	+	256	66574001	-	XC_2358	-	-	3-hydroxyacyl-CoA dehydrogenase type II
2849599..2850165	+	188	66574002	-	XC_2359	-	-	elongation factor P
2850167..2850568	+	133	66574003	-	XC_2360	-	-	conserved hypothetical protein
2850817..2852682	-	621	66574004	-	XC_2361	-	-	conserved hypothetical protein
2852679..2852972	-	97	66574005	-	XC_2362	-	-	conserved hypothetical protein
2853007..2854425	-	472	66574006	-	XC_2363	-	-	oxidoreductase
2854633..2855874	+	413	66574007	-	XC_2364	-	-	D-3-phosphoglycerate dehydrogenase
2856072..2856353	-	93	66574008	-	XC_2365	-	-	conserved hypothetical protein
2856460..2857011	-	183	66574009	-	XC_2366	-	-	conserved hypothetical protein
2857176..2858657	+	493	66574010	-	XC_2367	-	-	cationic amino acid transporter
2858731..2860161	+	476	66574011	-	XC_2368	-	-	cationic amino acid transporter
2860829..2861482	+	217	66574012	-	XC_2369	-	-	sugar aldolase
2861516..2862082	+	188	66574013	-	XC_2370	-	-	dioxygenase
2862085..2862783	+	232	66574014	-	XC_2371	-	-	enolase-phosphatase
2862986..2864188	+	400	66574015	-	XC_2372	-	-	conserved hypothetical protein
2864379..2866043	-	554	66574016	-	XC_2373	-	-	conserved hypothetical protein
2866609..2867229	-	206	66574017	-	XC_2374	-	-	phosphoribosyl-AMP cyclohydrolase
2867219..2867995	-	258	66574018	-	XC_2375	-	-	cyclase
2867989..2868723	-	244	66574019	-	XC_2376	-	-	phosphoribosylformimino-5-aminoimidazole carboxam
2868720..2869322	-	200	66574020	-	XC_2377	-	-	amidotransferase
2869319..2870446	-	375	66574021	-	XC_2378	-	-	imidazoleglycerolphosphate dehydratase
2870443..2871531	-	362	66574022	-	XC_2379	-	-	histidinol-phosphate aminotransferase
2871528..2872823	-	431	66574023	-	XC_2380	-	-	histidinol dehydrogenase
2872820..2873734	-	304	66574024	-	XC_2381	-	-	ATP phosphoribosyltransferase
2873744..2874070	-	108	66574025	-	XC_2382	-	-	conserved hypothetical protein
2874294..2875727	-	477	66574026	-	XC_2383	-	-	histidyl-tRNA synthetase
2875836..2876597	+	253	66574027	-	XC_2384	-	-	fumarate and nitrate reduction regulatory protein
2876689..2877429	-	246	66574028	-	XC_2385	-	-	conserved hypothetical protein
2877529..2878836	-	435	66574029	-	XC_2386	-	-	threonine synthase
2878893..2879312	+	139	66574030	-	XC_2387	-	-	conserved hypothetical protein
2879381..2880349	-	322	66574031	-	XC_2388	-	-	homoserine kinase
2880346..2882853	-	835	66574032	-	XC_2389	-	-	aspartokinase/homoserine dehydrogenase I
2883572..2884030	-	152	66574033	-	XC_2390	-	-	tryptophan-rich sensory protein
2884252..2885466	-	404	66574034	-	XC_2392	-	-	IS1481 transposase
2885580..2885846	-	88	66574035	-	XC_2393	-	-	conserved hypothetical protein
2886695..2887747	-	350	66574036	-	XC_2394	-	-	IS1477 transposase
2887561..2887827	-	88	66574037	-	XC_2395	-	-	IS1477 transposase
2887875..2896619	-	2914	66574038	-	XC_2396	-	-	filamentous haemagglutinin
2899536..2900945	+	469	66574039	-	XC_2399	-	-	integrase/recombinase
2900965..2906571	-	1868	66574040	-	XC_2400	-	-	DNA helicase related protein
2906685..2907455	+	256	66574041	-	XC_2401	-	-	conserved hypothetical protein
2907735..2909408	-	557	66574042	-	XC_2402	-	-	plasmid mobilization protein
2909854..2911689	+	611	66574043	-	XC_2403	-	-	MchC protein
2911646..2912110	+	154	66574044	-	XC_2404	-	-	putative hemolysin activation protein
2912173..2913450	+	425	66574045	-	XC_2405	-	-	putative transport transmembrane protein
2913601..2914131	-	176	66574046	-	XC_2406	-	-	hypothetical protein
2914247..2914837	-	196	66574047	-	XC_2407	-	-	hypothetical protein
2914846..2915580	-	244	66574048	-	XC_2408	-	-	hydroxyproline-rich glycoprotein DZ-HRGP
2915685..2917901	-	738	66574049	-	XC_2409	-	-	conserved hypothetical protein
2917898..2919226	-	442	66574050	-	XC_2410	-	-	conserved hypothetical protein
2919432..2923226	-	1264	66574051	-	XC_2411	-	-	conserved hypothetical protein
2923223..2924302	-	359	66574052	-	XC_2412	-	-	hypothetical protein
2924209..2925873	-	554	66574053	-	XC_2413	-	-	putative NTPase VagA
2926023..2926463	+	146	66574054	-	XC_2414	-	-	hypothetical protein
2926714..2927025	+	103	66574055	-	XC_2415	-	-	conserved hypothetical protein
2926919..2927467	+	182	66574056	-	XC_2416	-	-	hypothetical protein
2927753..2928598	-	281	66574057	-	XC_2417	-	-	plasmid mobilization protein
2929134..2929622	+	162	66574058	-	XC_2418	-	-	hypothetical protein
2929600..2930250	-	216	66574059	-	XC_2419	-	-	hypothetical protein
2930506..2930826	+	106	66574060	-	XC_2420	-	-	hypothetical protein
2931121..2932263	+	380	66574061	-	XC_2421	-	-	phage-related integrase
2932415..2932918	-	167	66574062	-	XC_2422	-	-	conserved hypothetical protein
2933796..2934689	-	297	66574063	-	XC_2424	-	-	hypothetical protein
2934675..2938118	+	1147	66574064	-	XC_2423	-	-	conserved hypothetical protein
2938307..2939578	+	423	66574065	-	XC_2425	-	-	hypothetical protein
2939736..2940923	+	395	66574066	-	XC_2426	-	-	RNA-directed DNA polymerase
2940911..2941405	+	164	66574067	-	XC_2427	-	-	hypothetical protein
2941626..2942693	-	355	66574068	-	XC_2428	-	-	ankyrin repeat protein
2942954..2944006	-	350	66574069	-	XC_2429	-	-	conserved hypothetical protein
2944305..2945219	-	304	66574070	-	XC_2430	-	-	Predicted transcriptional regulator
2945269..2946339	+	356	66574071	-	XC_2431	-	-	hypothetical protein
2946336..2946833	+	165	66574072	-	XC_2432	-	-	hypothetical protein
2946830..2947726	+	298	66574073	-	XC_2433	-	-	ATPases of the AAA+ class
2947997..2948887	+	296	66574074	-	XC_2434	-	-	phage associated protein
2948884..2949441	+	185	66574075	-	XC_2435	-	-	conserved hypothetical protein
2949514..2950464	+	316	66574076	-	XC_2436	-	-	hypothetical protein
2950636..2951376	-	246	66574077	-	XC_2437	-	-	hypothetical protein - Escherichia coli plasmid ColIa (fragment) gi
2951315..2952016	-	233	66574078	-	XC_2438	-	-	plasmid-related protein
2951964..2952593	-	209	66574079	-	XC_2439	-	-	hypothetical protein
2953180..2953908	-	242	66574080	-	XC_2440	-	-	conserved hypothetical protein
2953905..2955191	-	428	66574081	-	XC_2441	-	-	conserved hypothetical protein
2955188..2956009	-	273	66574082	-	XC_2442	-	-	conserved hypothetical protein
2956010..2957863	-	617	66574083	-	XC_2443	-	-	conserved hypothetical protein
2958041..2958586	-	181	66574084	-	XC_2444	-	-	hypothetical protein
2958759..2960417	+	552	66574085	-	XC_2445	-	-	aldehyde dehydrogenase
2960561..2961031	+	156	66574086	-	XC_2446	-	-	conserved hypothetical protein
2961028..2961801	+	257	66574087	-	XC_2447	-	-	conserved hypothetical protein
2961807..2962862	+	351	66574088	-	XC_2448	-	-	dihydroorotate dehydrogenase
2962859..2963911	+	350	66574089	-	XC_2449	-	-	UDP-N-acetylpyruvoylglucosamine reductase
2963905..2964816	+	303	66574090	-	XC_2450	-	-	integral membrane protein
2964961..2965665	+	234	66574091	-	XC_2451	-	-	putative resistance protein
2965860..2966357	+	165	66574092	-	XC_2452	-	-	transport protein
2966018..2967121	+	367	66574093	-	XC_2453	-	-	Prop transport protein
2967265..2967996	-	243	66574094	-	XC_2454	-	-	phosphatidylglycerophosphatase B-related protein
2967977..2969242	-	421	66574095	-	XC_2455	-	-	conserved hypothetical protein
2969361..2970590	+	409	66574096	-	XC_2456	-	-	two-component system sensor protein
2970587..2971162	+	191	66574097	-	XC_2457	-	-	two-component system regulatory protein
2971484..2972485	-	333	66574098	-	XC_2458	-	-	mannan endo-1,4-beta-mannosidase
2972912..2974768	+	618	66574099	-	XC_2459	-	-	conserved hypothetical protein
2974849..2976411	-	520	66574100	-	XC_2460	-	-	sodium/glucose cotransport protein
2976672..2979284	-	870	66574101	-	XC_2461	-	-	glucan 1,4-beta-glucosidase
2979691..2981676	+	661	66574102	-	XC_2462	-	-	alkaline phosphatase
2981732..2982208	-	158	66574103	-	XC_2463	-	-	conserved hypothetical protein
2981958..2982239	-	93	66574104	-	XC_2464	-	-	conserved hypothetical protein
2982376..2983890	-	504	66574105	-	XC_2465	-	-	glucose-6-phosphate isomerase
2983887..2984267	-	126	66574106	-	XC_2466	-	-	aspartate 1-decarboxylase precursor
2984375..2985229	-	284	66574107	-	XC_2467	-	-	pantoate-beta-alanine ligase
2985226..2986041	-	271	66574108	-	XC_2468	-	-	3-methyl-2-oxobutanoate hydroxymethyltransferase
2986077..2986562	-	161	66574109	-	XC_2469	-	-	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
2986566..2987933	-	455	66574110	-	XC_2470	-	-	polynucleotide adenyltransferase
2988441..2989376	-	311	66574111	-	XC_2471	-	-	conserved hypothetical protein
2989411..2990571	-	386	66574112	-	XC_2472	-	-	N-acetylmuramoyl-L-alanine amidase
2990792..2991016	+	74	66574113	-	XC_2473	-	-	conserved hypothetical protein
2991202..2991693	+	163	66574114	-	XC_2474	-	-	conserved hypothetical protein
2991647..2993206	-	519	66574115	-	XC_2475	-	-	sensor kinase
2993567..2995012	-	481	66574116	-	XC_2476	-	-	MFS transporter
2995080..2996420	-	446	66574117	-	XC_2477	-	-	xylose isomerase
2996457..2997950	-	497	66574118	-	XC_2478	-	-	D-xylulokinase
2997947..3000319	-	790	66574119	-	XC_2479	-	-	conserved hypothetical protein
3000402..3003239	-	945	66574120	-	XC_2480	-	-	alpha-xylosidase
3003554..3005221	-	555	66574121	-	XC_2481	-	-	conserved hypothetical protein
3005305..3007218	-	637	66574122	-	XC_2482	-	-	sialic acid-specific 9-O-acetylesterase
3007322..3009577	-	751	66574123	-	XC_2483	-	-	cellulase
3009689..3012385	-	898	66574124	-	XC_2484	-	-	TonB-dependent receptor
3012762..3015674	-	970	66574125	-	XC_2485	-	-	TonB-dependent receptor
3015932..3016903	-	323	66574126	-	XC_2486	-	-	galactose-binding protein regulator
3017323..3017961	+	212	66574127	-	XC_2487	-	-	4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase
3017958..3019106	+	382	66574128	-	XC_2488	-	-	4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase
3019070..3020011	+	313	66574129	-	XC_2489	-	-	regucalcin
3020008..3020886	+	292	66574130	-	XC_2490	-	-	2-oxo-3-deoxygalactonate kinase
3021086..3021409	+	107	66574131	-	XC_2491	-	-	ferredoxin
3021486..3022004	-	172	66574132	-	XC_2492	-	-	conserved hypothetical protein
3022021..3022929	-	302	66574133	-	XC_2493	-	-	dihydroxydipicolinate synthase
3023022..3023648	+	208	66574134	-	XC_2494	-	-	glycine cleavage system transcriptional repressor
3023674..3024012	+	112	66574135	-	XC_2495	-	-	conserved hypothetical protein
3024051..3024533	+	160	66574136	-	XC_2496	-	-	bacterioferritin comigratory protein
3024604..3026013	+	469	66574137	-	XC_2497	-	-	conserved hypothetical protein
3026397..3026492	+	31	66574138	-	XC_2498	-	-	conserved hypothetical protein
3026544..3027374	+	276	66574139	-	XC_2499	-	-	phosphomethylpyrimidine kinase
3027365..3028216	+	283	66574140	-	XC_2500	-	-	conserved hypothetical protein
3028600..3029592	-	330	66574141	-	XC_2501	-	-	conserved hypothetical protein
3029637..3030581	-	314	66574142	-	XC_2502	-	-	transcriptional regulator
3030719..3031420	+	233	66574143	-	XC_2503	-	-	conserved hypothetical protein
3032111..3034075	-	654	66574144	-	XC_2504	-	-	chemotaxis protein
3034736..3034873	+	45	66574145	-	XC_2505	-	-	hypothetical protein
3035290..3035502	-	70	66574146	-	XC_2506	-	-	carbon storage regulator
3035644..3038292	-	882	66574147	-	XC_2507	-	-	alanyl-tRNA synthetase
3038394..3038882	-	162	66574148	-	XC_2508	-	-	RecX protein
3038998..3040029	-	343	66574149	-	XC_2509	-	-	RecA protein
3040202..3040843	-	213	66574150	-	XC_2510	-	-	LexA
3040910..3042586	-	558	66574151	-	XC_2511	-	-	ubiquinone biosynthesis protein
3043011..3045674	-	887	66574152	-	XC_2512	-	-	TonB-dependent receptor
3046063..3046551	-	162	66574153	-	XC_2513	-	-	conserved hypothetical protein
3046963..3048282	-	439	66574154	-	XC_2514	-	-	GTP-binding protein
3048294..3048572	-	92	66574155	-	XC_2515	-	-	host factor-I protein
3048649..3049632	-	327	66574156	-	XC_2516	-	-	tRNA delta(2)-isopentenylpyrophosphate transferase
3049632..3050540	-	302	66574157	-	XC_2517	-	-	dihydropteroate synthase
3050847..3052793	-	648	66574158	-	XC_2518	-	-	cell division protein
3052849..3053487	-	212	66574159	-	XC_2519	-	-	cell division protein
3053547..3053852	+	101	66574160	-	XC_2520	-	-	conserved hypothetical protein
3053869..3054243	+	124	66574161	-	XC_2521	-	-	conserved hypothetical protein
3054429..3055229	-	266	66574162	-	XC_2522	-	-	lipoprotein
3055208..3055822	-	204	66574163	-	XC_2523	-	-	conserved hypothetical protein
3055841..3056518	-	225	66574164	-	XC_2524	-	-	L-isoaspartate protein carboxylmethyltransferase type II
3056515..3057294	-	259	66574165	-	XC_2525	-	-	survival protein
3057388..3057933	+	181	66574166	-	XC_2526	-	-	conserved hypothetical protein
3058190..3059293	-	367	66574167	-	XC_2527	-	-	hydrogenase subunit
3059389..3059880	-	163	66574168	-	XC_2528	-	-	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
3059886..3060683	-	265	66574169	-	XC_2529	-	-	4-diphosphocytidyl-2-C-methyl-D-erythritol synthase
3060680..3061045	-	121	66574170	-	XC_2530	-	-	conserved hypothetical protein
3061049..3062341	-	430	66574171	-	XC_2531	-	-	enolase
3062467..3062829	-	120	66574172	-	XC_2532	-	-	conserved hypothetical protein
3062826..3063656	-	276	66574173	-	XC_2533	-	-	2-dehydro-3-deoxyphosphooctonate aldolase
3064071..3065762	-	563	66574174	-	XC_2534	-	-	CTP synthetase
3065902..3066231	-	109	66574175	-	XC_2535	-	-	conserved hypothetical protein
3066290..3068194	+	634	66574176	-	XC_2536	-	-	topoisomerase IV subunit B
3068458..3069243	-	261	66574177	-	XC_2537	-	-	CDP-diacylglycerol pyrophosphatase
3069377..3070882	+	501	66574178	-	XC_2538	-	-	carboxypeptidase-related protein
3070937..3071698	-	253	66574179	-	XC_2539	-	-	conserved hypothetical protein
3071928..3073055	-	375	66574180	-	XC_2540	-	-	transport protein
3073065..3073691	-	208	66574181	-	XC_2541	-	-	conserved hypothetical protein
3073965..3075275	+	436	66574182	-	XC_2542	-	-	hemolysin
3075316..3075933	+	205	66574183	-	XC_2543	-	-	ExoD protein
3075965..3076465	-	166	66574184	-	XC_2544	-	-	general stress protein
3076526..3077758	-	410	66574185	-	XC_2545	-	-	conserved hypothetical protein
3077951..3079357	+	468	66574186	-	XC_2546	-	-	MFS transporter
3079437..3081074	-	545	66574187	-	XC_2547	-	-	ABC transporter ATP-binding protein
3081177..3082220	-	347	66574188	-	XC_2548	-	-	conserved hypothetical protein
3082257..3083969	+	570	66574189	-	XC_2549	-	-	Mg-protoporphyrin IX monomethyl ester oxidative cyclase
3083995..3085236	+	413	66574190	-	XC_2550	-	-	conserved hypothetical protein
3085254..3086417	-	387	66574191	-	XC_2551	-	-	hexosyltransferase
3086363..3087487	-	374	66574192	-	XC_2552	-	-	glycosyltransferase
3087612..3088322	-	236	66574193	-	XC_2553	-	-	biotin synthesis protein
3088319..3089545	-	408	66574194	-	XC_2554	-	-	conserved hypothetical protein
3089546..3090391	-	281	66574195	-	XC_2555	-	-	methyltransferase
3090553..3091458	-	301	66574196	-	XC_2556	-	-	conserved hypothetical protein
3091445..3092626	-	393	66574197	-	XC_2557	-	-	conserved hypothetical protein
3092583..3093521	-	312	66574198	-	XC_2558	-	-	glycosyl transferase
3093518..3094771	-	417	66574199	-	XC_2559	-	-	lipopolysaccharide biosynthesis protein
3094768..3095910	-	380	66574200	-	XC_2560	-	-	aminotransferase
3096056..3096478	-	140	66574201	-	XC_2561	-	-	conserved hypothetical protein
3096869..3097402	+	177	66574202	-	XC_2562	-	-	cytochrome like B561
3097459..3098805	+	448	66574203	-	XC_2563	-	-	cytochrome C
3098890..3099234	+	114	66574204	-	XC_2564	-	-	cytochrome C2
3099493..3100260	+	255	66574205	-	XC_2565	-	-	conserved hypothetical protein
3100323..3100904	+	193	66574206	-	XC_2566	-	-	RNA polymerase sigma-E factor
3100796..3101554	+	252	66574207	-	XC_2567	-	-	conserved hypothetical protein
3102052..3102867	+	271	66574208	-	XC_2568	-	-	serine protease
3102876..3103634	+	252	66574209	-	XC_2569	-	-	heme exporter protein C/cytochrome C-type biogenesis protein
3103631..3103834	+	67	66574210	-	XC_2570	-	-	conserved hypothetical protein
3103831..3104301	+	156	66574211	-	XC_2571	-	-	C-type cytochrome biogenesis protein
3104368..3106365	+	665	66574212	-	XC_2572	-	-	C-type cytochrome biogenesis membrane protein
3106362..3106904	+	180	66574213	-	XC_2573	-	-	C-type cytochrome biogenesis protein/thioredoxin
3106901..3107353	+	150	66574214	-	XC_2574	-	-	C-type cytochrome biogenesis protein
3107350..3108078	+	242	66574215	-	XC_2575	-	-	conserved hypothetical protein
3108116..3110218	-	700	66574216	-	XC_2576	-	-	histidine kinase/response regulator hybrid protein
3110175..3111716	-	513	66574217	-	XC_2577	-	-	conserved hypothetical protein
3111864..3112238	+	124	66574218	-	XC_2578	-	-	response regulator
3112261..3115167	-	968	66574219	-	XC_2579	-	-	histidine kinase/response regulator hybrid protein
3115969..3116706	+	245	66574220	-	XC_2580	-	-	endonuclease precursor
3117170..3117415	-	81	66574221	-	XC_2581	-	-	conserved hypothetical protein
3117456..3117674	+	72	66574222	-	XC_2582	-	-	conserved hypothetical protein
3117710..3117946	-	78	66574223	-	XC_2583	-	-	conserved hypothetical protein
3118116..3118733	-	205	66574224	-	XC_2584	-	-	conserved hypothetical protein
3119010..3120008	+	332	66574225	-	XC_2585	-	-	dehydrogenase
3120077..3120757	+	226	66574226	-	XC_2586	-	-	conserved hypothetical protein
3120754..3121350	+	198	66574227	-	XC_2587	-	-	conserved hypothetical protein
3121305..3122024	+	239	66574228	-	XC_2588	-	-	glycosyl transferase-related protein
3122997..3123545	+	182	66574229	-	XC_2589	-	-	phage-related integrase
3124218..3125432	-	404	66574230	-	XC_2590	-	-	IS1481 transposase
3125500..3125913	-	137	66574231	-	XC_2591	-	-	conserved hypothetical protein
3125910..3130307	-	1465	66574232	-	XC_2592	-	-	RhsD protein
3131432..3131701	+	89	66574233	-	XC_2593	-	-	IS1404 transposase
3132728..3132913	+	61	66574234	-	XC_2595	-	-	conserved hypothetical protein
3133188..3136274	+	1028	66574235	-	XC_2596	-	-	conserved hypothetical protein
3136295..3136588	+	97	66574236	-	XC_2597	-	-	ISxac3 transposase
3136606..3137460	+	284	66574237	-	XC_2598	-	-	ISxac3 transposase
3137749..3138144	-	131	66574238	-	XC_2599	-	-	conserved hypothetical protein
3138141..3138533	-	130	66574239	-	XC_2600	-	-	conserved hypothetical protein
3138573..3139139	+	188	66574240	-	XC_2601	-	-	invertase/recombinase protein
3139192..3140259	-	355	66574241	-	XC_2602	-	-	avirulence protein
3140933..3141985	-	350	66574242	-	XC_2603	-	-	IS1477 transposase
3141799..3142065	-	88	66574243	-	XC_2604	-	-	IS1477 transposase
3143000..3143623	-	207	66574244	-	XC_2605	-	-	conserved hypothetical protein
3143687..3147703	-	1338	66574245	-	XC_2606	-	-	unknown acidic aa rich protein
3147740..3148381	-	213	66574246	-	XC_2607	-	-	conserved hypothetical protein
3149221..3149820	+	199	66574247	-	XC_2608	-	-	conserved hypothetical protein
3149949..3150308	+	119	66574248	-	XC_2609	-	-	conserved hypothetical protein
3150371..3150850	-	159	66574249	-	XC_2610	-	-	conserved hypothetical protein
3150902..3151630	-	242	66574250	-	XC_2611	-	-	conserved hypothetical protein
3151646..3152125	-	159	66574251	-	XC_2612	-	-	RadC family protein
3152524..3152700	-	58	66574252	-	XC_2613	-	-	conserved hypothetical protein
3153039..3153536	-	165	66574253	-	XC_2614	-	-	conserved hypothetical protein
3153581..3154414	-	277	66574254	-	XC_2615	-	-	conserved hypothetical protein
3154827..3155447	-	206	66574255	-	XC_2616	-	-	conserved hypothetical protein
3155459..3155728	-	89	66574256	-	XC_2617	-	-	conserved hypothetical protein
3156052..3157500	+	482	66574257	-	XC_2618	-	-	phage-related integrase
3157526..3158521	+	331	66574258	-	XC_2619	-	-	phage-related integrase
3158696..3158974	-	92	66574259	-	XC_2620	-	-	conserved plasmid protein
3159086..3159241	+	51	66574260	-	XC_2621	-	-	conserved hypothetical protein
3160159..3161139	+	326	66574261	-	XC_2622	-	-	IS1479 transposase
3161321..3162154	-	277	66574262	-	XC_2623	-	-	IS1477 transposase
3162187..3162453	-	88	66574263	-	XC_2624	-	-	IS1477 transposase
3162811..3163080	+	89	66574264	-	XC_2625	-	-	IS1404 transposase
3163161..3163919	+	252	66574265	-	XC_2626	-	-	IS1404 transposase
3164127..3164237	+	36	66574266	-	XC_2627	-	-	conserved hypothetical protein
3164783..3165550	-	255	66574267	-	XC_2628	-	-	ISxcC1 transposase
3165625..3165891	-	88	66574268	-	XC_2629	-	-	ISxcc1 transposase
3166188..3167312	-	374	66574269	-	XC_2630	-	-	conserved hypothetical protein
3167422..3167763	-	113	66574270	-	XC_2631	-	-	conserved hypothetical protein
